Restaurant_Name,Rating (Out of 5),votes,cuisines,dish_liked,location,online_order,Sub-Type,Type
Mustard Food Court,3.9,338,"North Indian, Chinese","Palak Paneer, Chicken Biryani, Vegetable Biryani, Egg Bhurji, Aloo Paratha, Oregano Chicken, Raita",HSR,No,Casual Dining,Dine-out
Mid-Night Crunch,3.7,455,"North Indian, Chinese",Rolls,HSR,Yes,"Takeaway, Delivery",Delivery
Rayaan's Restaurant,3.6,155,"North Indian, Chinese, Arabian","Charcoal Chicken, Shawarma, Biryani, Pulpy Grape Juice, Veg Fried Rice, Fish, Mutton Seekh",HSR,No,Quick Bites,Dine-out
Hotel Salam,4.1,128,"North Indian, Chinese, Biryani",,HSR,Yes,Quick Bites,Dine-out
Desi Flavours,3.9,121,"North Indian, Chinese, Biryani","Chicken Biryani, Thali, Rolls, Ambur Biryani, Palak Paneer, Salad, Bhatti Ka Murgh",Koramangala 1st Block,Yes,Quick Bites,Dine-out
Cinnamon,3.9,450,"North Indian, Chinese, Biryani","Raita, Tandoori Chicken, Egg Chilli, Hakka Noodles, Chicken Taka Tak, Palak Paneer, Veg Pulao",HSR,Yes,Casual Dining,Delivery
Tasty Treat,3.1,131,"North Indian, Chinese, Biryani, Rolls",Paratha,HSR,Yes,Quick Bites,Delivery
Families Food Court,3.9,261,"North Indian, Chinese, Biryani, Rolls",Prompt Service,HSR,Yes,Quick Bites,Delivery
Sumai Foods,3.2,4,"North Indian, Chinese, Fast Food",,Bommanahalli,No,Delivery,Delivery
Tongue Taste,0,0,"North Indian, Chinese, Fast Food",,Hosur Road,Yes,Quick Bites,Dine-out
Fun Kitchen,3.8,90,"North Indian, Chinese, Fast Food","Momos, Rolls, Paratha, Chaap",HSR,Yes,Quick Bites,Dine-out
Punjabi Nukkad Pure Veg,4,768,"North Indian, Chinese, Juices","Lassi, Dal Makhani, Ajwaini Paratha, Mushroom Masala, Roti, Shahi Tukda, Shahi Paneer",HSR,Yes,Quick Bites,Delivery
Mughal Treat,4,437,"North Indian, Chinese, Mughlai","Charcoal Chicken, Biryani, Shawarma, Pulpy Grape Juice, Tandoori Chicken, Lime Soda, Seekh Kebab",HSR,Yes,Casual Dining,Dine-out
A Bar,3.3,19,"North Indian, Continental",,HSR,No,Bar,Pubs and bars
Smiley's Kitchen,0,0,"North Indian, Fast Food",,Koramangala 1st Block,Yes,"Takeaway, Delivery",Delivery
The Hidden Cafe,3.9,95,"North Indian, Fast Food","Hyderabadi Biryani, Ginger Chicken",Koramangala 1st Block,Yes,Quick Bites,Dine-out
The Tandoori Chai,3.9,60,"North Indian, Fast Food, Street Food, Beverages","Tandoori Chai, Tea, Paratha, Samosa Chaat, Onion Pakoda, Raj Kachori",HSR,Yes,Quick Bites,Dine-out
Dum & Oven,3.7,29,"North Indian, Hyderabadi, Continental",,HSR,No,Casual Dining,Delivery
Fine Dine Restaurant,3.7,56,"North Indian, Kerala, Chinese",,HSR,Yes,Casual Dining,Dine-out
The Thali Company,3.3,7,"North Indian, Lucknowi",,HSR,No,"Takeaway, Delivery",Delivery
Shahi Rasoi,3.1,27,"North Indian, Mughlai",,HSR,Yes,Delivery,Delivery
Lazeez Corner,3.1,7,"North Indian, Mughlai, Chinese",,HSR,Yes,Quick Bites,Delivery
The Spice Factory,3.1,29,"North Indian, Mughlai, Chinese",,HSR,Yes,Casual Dining,Dine-out
