Restaurant_Name,Rating (Out of 5),votes,cuisines,dish_liked,location,online_order,Sub-Type,Type
Chetty's Coffee,4,266,South Indian,"Filter Coffee, Vada, Chai, Caramel Coffee, Masala Dosa, Kesari Bath, Veg Dosa",New BEL Road,Yes,Quick Bites,Delivery
Hotel Nalapaka,4.3,678,South Indian,"Jowar Roti, Benne Dosa, Idli, Brinjal Curry, Akki Rottis, Jolada Rotti, Buttermilk",Rajajinagar,No,Casual Dining,Dine-out
Hotel Janardhan,4.1,485,South Indian,"Upma, Filter Coffee, Sagu Masala Dosa, Badam Halwa, Rava Idli, Hot Coffee, Kesari Bath",Race Course Road,No,Quick Bites,Dine-out
Vishnu Garden,4,163,South Indian,"Vada, Filter Coffee, Masala Dosa",RT Nagar,Yes,Quick Bites,Delivery
HVR Veg,4.5,96,South Indian,"Vada, Masala Idli, Benne Khali Dosa, Benne Masala Dosa, Set Dosa, Filter Coffee",Seshadripuram,Yes,Quick Bites,Dine-out
Mom's Rasoi,3.5,14,"South Indian, Biryani",,Malleshwaram,No,Quick Bites,Dine-out
Hotel Malgudi,3.6,10,"South Indian, Biryani",,Rajajinagar,Yes,Quick Bites,Delivery
Prashanth Naati Corner,3.5,10,"South Indian, Biryani",,Yelahanka,Yes,Quick Bites,Delivery
Indira Darshini,3.6,27,"South Indian, Chinese",,Frazer Town,Yes,Quick Bites,Delivery
Sri Durga Grand,3.3,5,"South Indian, Chinese",,Rajajinagar,No,Quick Bites,Dine-out
Akshaya Sambrama Veg Restaurant,3.2,13,"South Indian, Chinese",,Vasanth Nagar,No,Quick Bites,Delivery
Hotel Ayodhya Upahar,3.9,46,"South Indian, Chinese","Coffee, Bonda Soup, Masala Dosa, Neer Dosa",Sadashiv Nagar,No,Quick Bites,Dine-out
Sri Venkateshwar Bhavan,3.5,7,"South Indian, Chinese, Seafood",,Malleshwaram,No,Quick Bites,Dine-out
Ganesh Darshini,3.7,286,"South Indian, Fast Food",,Malleshwaram,Yes,Quick Bites,Dine-out
The Fast Food,4,65,"South Indian, Fast Food",,Malleshwaram,Yes,Quick Bites,Delivery
Namma Kudla,4.2,62,"South Indian, Mangalorean","Thali, Idli, Neer Dosa",Malleshwaram,No,Quick Bites,Dine-out
Hotel Fish Land,3.6,24,"South Indian, North Indian",,RT Nagar,Yes,Casual Dining,Delivery
Aahara Vihar,3.5,13,"South Indian, North Indian, Chinese",,Malleshwaram,No,Quick Bites,Dine-out
Sunaina Sapice,3.3,7,"South Indian, North Indian, Chinese",,New BEL Road,Yes,Quick Bites,Delivery
New Sagar Fast Food,3.6,21,"South Indian, North Indian, Chinese",,Rajajinagar,No,Quick Bites,Dine-out
Al-Taj Restaurant,3.4,9,"South Indian, North Indian, Chinese",,Rajajinagar,Yes,Casual Dining,Delivery
Prashanth Grand,2.9,14,"South Indian, North Indian, Chinese",,Seshadripuram,No,Quick Bites,Dine-out
New Sagar Fast Food,3.4,13,"South Indian, North Indian, Chinese",,Yeshwantpur,Yes,Quick Bites,Delivery
New Krishna Bhavan,4.2,600,"South Indian, North Indian, Chinese","Neer Dosa, Filter Coffee, Button Idli, Benne Masala Dosa, Puri Saagu, Badam Halwa, Vada",Malleshwaram,No,Quick Bites,Dine-out
Chandrappa Hotel,4.2,253,"South Indian, North Indian, Chinese","Pork Pepper Fry, Mutton Chops, Mutton Biryani, Chicken Fry, Garlic Chicken, Akki Rottis, Pepper Chicken",Yeshwantpur,Yes,Quick Bites,Delivery
Hotel Durga Shree Grand,3.6,6,"South Indian, North Indian, Chinese, Street Food",,Rajajinagar,Yes,Quick Bites,Dine-out
Asha Food Camp,4.1,534,"South Indian, Street Food, Fast Food","Panneer Butter Masala, Manchurian, Fruit Salad, Idli, Filter Coffee, Dhokla, Kashmiri Pulao",Malleshwaram,No,Quick Bites,Dine-out
G. P. S. Kaapi Thindi,3.5,14,Street Food,,Malleshwaram,No,Quick Bites,Dine-out
Bangarpet Chats Corner,3.3,7,Street Food,,Rajajinagar,No,Quick Bites,Dine-out
1992 Chats - Space,3.7,33,Street Food,,Rajajinagar,Yes,Quick Bites,Delivery
Sri Sai Ram's,4.2,61,Street Food,"Chaat, Chips, Dahipuri, Masala Poori",Malleshwaram,No,Quick Bites,Dine-out
Sri Sairam's Chats and Juice,4.2,471,Street Food,"Chaat, Dahipuri, Chips, Masala Poori, Bhel Puri, Jal-jeera, Sev Puri",Malleshwaram,No,Quick Bites,Dine-out
Bombay Vada Pav Corner,4.2,84,Street Food,"Vada Pav, Dabeli, Pav Bhaji, Samosa Pav",Seshadripuram,Yes,Quick Bites,Delivery
Fresh Veg,2.7,93,"Street Food, North Indian","Chaat, Lassi, Tawa Pulav, Potato Twister, Dal Makhani, Chole Bhature, Rajma",New BEL Road,Yes,Quick Bites,Delivery
Zu's Doner Kebaps,3.7,33,"Turkish, Fast Food, Biryani, Chinese",,RT Nagar,No,"Takeaway, Delivery",Delivery
The Asian Curry House,4.5,785,"Vietnamese, Thai, Burmese, Japanese","Sushi, Noodles, Khao Suey, Momos, Vegetarian, Thukpa Soup, Thai Green Curry",Malleshwaram,Yes,Casual Dining,Delivery
Noodle Oodle,3.7,12,,,Whitefield,Yes,Delivery,Delivery
Taste of Chettinad,3.2,6,,,Whitefield,Yes,Delivery,Delivery
Grab n Go - Aloft Hotel,3.1,7,"American, Fast Food",,Whitefield,No,Casual Dining,Dine-out
The Lighthouse Cafe,3.6,21,"American, Italian",,Whitefield,No,Casual Dining,Dine-out
Whitefield Social,4.1,2773,"American, North Indian, Chinese, Finger Food, Momos","Cocktails, Chicken Kebab, Murgh Ghee Roast, Virgin Mojito, Honey Chilli Fries, Ice Tea, Shawarma",Whitefield,Yes,Pub,Pubs and bars
Windmills Craftworks,4.6,5954,"American, North Indian, Salad","Keema Pav, Cocktails, Craft Beer, Pork Chops, Mocktails, Hefeweizen, Nachos",Whitefield,No,"Microbrewery, Pub",Drinks & nightlife
BIB-Breakfast in the Box,3.8,62,"American, Sandwich","English Breakfast, French Fries, Burgers, Pancakes, Corn Sandwich, Chicken Burger, Bacon Fry",Whitefield,Yes,Delivery,Delivery
Vandana Foods,0,0,Andhra,,Marathahalli,No,Delivery,Delivery
Keerthi Restaurant Andhra Style,3.3,8,Andhra,,Marathahalli,Yes,Quick Bites,Dine-out
Whats Ap,3.3,9,Andhra,,Whitefield,No,Casual Dining,Dine-out
Andhra Taste,0,0,Andhra,,Whitefield,Yes,Delivery,Delivery
New Madhuram,3.4,7,"Andhra, Biryani",,Marathahalli,No,Quick Bites,Dine-out
Biryani Paradise,3.8,136,"Andhra, Biryani",,Whitefield,Yes,Casual Dining,Delivery
Hotel Crossroads,3.6,87,"Andhra, Biryani","Ulvacharu Biryani, Gongura Biryani, Chicken Dum Biryani, Rice",Marathahalli,No,Casual Dining,Delivery
Andhra Ghumaghumalu,3.5,18,"Andhra, Biryani, North Indian",,Whitefield,Yes,Quick Bites,Dine-out
Andhra Express,3.7,19,"Andhra, Biryani, North Indian, Beverages",,CV Raman Nagar,Yes,"Takeaway, Delivery",Delivery
Kritunga Restaurant,3.8,1989,"Andhra, Biryani, North Indian, Chinese","Mushroom Biryani, Bamboo Chicken, Pot Biryani, Chicken Biryani, Paneer Biryani, Mutton Biryani, Dum Biryani",Marathahalli,Yes,Casual Dining,Dine-out
Costa Biryanis,3.3,12,"Andhra, Biryani, North Indian, South Indian",,East Bangalore,Yes,Delivery,Delivery
Andhra Spice,0,0,"Andhra, Chinese",,Whitefield,No,Quick Bites,Dine-out
Mayuri Spices,0,0,"Andhra, Chinese, North Indian",,Marathahalli,No,Casual Dining,Dine-out
Mayuri Restaurant,0,0,"Andhra, Chinese, North Indian",,Whitefield,No,Quick Bites,Dine-out
Spicy Andhra,3.2,4,"Andhra, Chinese, North Indian",,Whitefield,Yes,Quick Bites,Delivery
Amaravati Authentic Andhra Restaurant,3.1,149,"Andhra, Chinese, North Indian, Biryani","Thali, Chilli Chicken, Chicken Curry, Andhra Meal, Vegetable Biryani",Brookefield,No,Casual Dining,Delivery
Rayalaseema Foods,3.3,9,"Andhra, Hyderabadi, Biryani",,Whitefield,Yes,Quick Bites,Delivery
Naga's,3.7,36,"Andhra, Hyderabadi, Biryani",Tandoori Chicken,Whitefield,Yes,Food Court,Dine-out
Yummy Beeriyaniz,0,0,"Andhra, Hyderabadi, Chinese",,Whitefield,No,"Takeaway, Delivery",Delivery
Palar Restaurant,3.7,20,"Andhra, North Indian",,Marathahalli,No,Casual Dining,Delivery
Amrutha Hotel,0,0,"Andhra, North Indian",,Whitefield,No,Quick Bites,Dine-out
Andhra Ruchi's Restaurant,3.1,72,"Andhra, North Indian, Biryani",,Whitefield,Yes,Delivery,Delivery
Curries And Pickles,0,0,"Andhra, North Indian, Biryani",,Whitefield,Yes,Quick Bites,Dine-out
New Andhra Chimney,3.1,71,"Andhra, North Indian, Biryani","Hyderabadi Chicken, Chicken Biryani, Hyderabadi Biryani, Andhra Biryani",Whitefield,No,Casual Dining,Dine-out
Mayuri Delux Restaurant,0,0,"Andhra, North Indian, Chinese",,Whitefield,No,Casual Dining,Dine-out
SV Restaurant,3.1,8,"Andhra, North Indian, Chinese, Biryani",,Whitefield,Yes,Casual Dining,Delivery
Hotel Manu Residency,3.8,201,"Andhra, North Indian, Chinese, Biryani","Noodles, Andhra Meal",Whitefield,Yes,Casual Dining,Delivery
Nanda's,3.7,198,"Andhra, North Indian, Chinese, Seafood, Biryani","Chicken Guntur, Andhra Meal, Hyderabadi Chicken Biryani, Butter Naan, Andhra Thali",Marathahalli,Yes,Casual Dining,Delivery
Jagannath Mess,0,0,"Andhra, North Indian, South Indian",,Brookefield,No,Mess,Dine-out
Gongura,2.6,51,"Andhra, North Indian, South Indian","Vegetable Biryani, Non Veg Thali, Plain Rice, Chicken Pot Biryani, Naan",Whitefield,No,"Food Court, Casual Dining",Dine-out
Rayalaseema Spices,3.5,35,"Andhra, South Indian",,Brookefield,Yes,Casual Dining,Delivery
Ruchi Restaurant,0,0,"Andhra, South Indian",,Marathahalli,No,Quick Bites,Dine-out
Sree Lakshmi Venkateshwara Andhra Mess,3.5,17,"Andhra, South Indian",,Marathahalli,No,Mess,Dine-out
Bhojana Restaurant,0,0,"Andhra, South Indian",,Whitefield,No,Quick Bites,Dine-out
Sri Annapurna Mess,0,0,"Andhra, South Indian",,Whitefield,Yes,Mess,Dine-out
SLV Andhra Hotel,0,0,"Andhra, South Indian, Chinese",,Whitefield,No,Quick Bites,Dine-out
Bhagini Kitchen And Bar,3.8,36,"Andhra, South Indian, Chinese, North Indian",Biryani,Marathahalli,No,"Casual Dining, Bar",Dine-out
Bhagini,2.5,81,"Andhra, South Indian, Chinese, North Indian","Biryani, Andhra Meal",Whitefield,No,"Casual Dining, Bar",Pubs and bars
Andhra Vindu Multi Cuisine Restaurant,3.3,11,"Andhra, South Indian, Fast Food",,Marathahalli,Yes,Casual Dining,Delivery
Andhra Kafe,3.8,247,"Andhra, South Indian, North Indian, Biryani","Biryani, Thali, Lemon Tea, Lassi, Coffee, Masala Paneer, Roti",Whitefield,Yes,Casual Dining,Dine-out
Arabian Fame Grill,0,0,Arabian,,Whitefield,No,Food Court,Dine-out
Orbis Market Kitchen,0,0,Arabian,,Whitefield,No,"Food Court, Quick Bites",Dine-out
Village Restaurant,3.6,348,"Arabian, Chinese, Kerala, North Indian, Biryani","Naan, Kulcha, Panneer Butter Masala, Appam, Malabari Biryani, Tea, Al Faham Chicken",Marathahalli,Yes,Casual Dining,Delivery
The Yellow Stop,0,0,"Arabian, Chinese, North Indian",,Whitefield,No,Quick Bites,Dine-out
B'Town Cafe & Restaurant,3.5,8,"Arabian, Continental",,Marathahalli,No,Food Court,Dine-out
M.M.A. Kabab's & Biriyani Center,3.3,802,"Arabian, Mughlai, Chinese, Kebab, Fast Food","Biryani, Chicken Grill, Roast Chicken, Tandoori Chicken, Pepper Chicken, Roti, Rolls",Brookefield,Yes,Quick Bites,Dine-out
Urban Grills Restaurant,3.5,45,"Arabian, North Indian, Biryani",,Whitefield,No,Casual Dining,Delivery
Arabian Delight,0,0,"Arabian, North Indian, Chinese",,Marathahalli,No,Casual Dining,Delivery
Moriz Restaurant,3.2,684,"Arabian, North Indian, Seafood, Chinese, Biryani","Butter Chicken, Shawarma, Chicken Masala, Chicken Shawarama, Chicken Curry, Hot Wings, Butter Naan",Marathahalli,Yes,Casual Dining,Dine-out
Wok Steam & Grills,3.7,42,Asian,"Momos, Noodles, Schezwan Rice",Marathahalli,Yes,"Takeaway, Delivery",Delivery
The Wok Shop,4.2,221,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean","Momos, Chocolate Bar, Fish, Sweet Potato Fries, Dumplings, Rice Noodles, Paneer Bao",Whitefield,Yes,Quick Bites,Dine-out
Oakleaf,3.9,41,"Asian, Continental, North Indian, Italian",Salmon,Whitefield,Yes,Casual Dining,Dine-out
Delicious Cakes,3.1,9,Bakery,,Marathahalli,No,Dessert Parlor,Desserts
Cake Menu,3.5,30,Bakery,,Marathahalli,Yes,Bakery,Delivery
Floweraura,0,0,Bakery,,Whitefield,No,"Takeaway, Delivery",Delivery
Snack Itt,0,0,Bakery,,Whitefield,No,,Desserts
Sugarkiss Bake Studio,0,0,Bakery,,Whitefield,No,Bakery,Desserts
The Cake Shop,0,0,Bakery,,Whitefield,No,Bakery,Desserts
YummTumm,0,0,Bakery,,Whitefield,No,Bakery,Desserts
Re:fuel- Aloft Bengaluru Cessna Business Park,0,0,"Bakery, Beverages, Cafe, Coffee, Desserts, Sandwich",,Bellandur,No,"Cafe, Bakery",Desserts
Whitefield Baking Company - Bengaluru Marriott Hotel...,3.9,58,"Bakery, Cafe","Coffee, Opera Pastry, Masala Tea",Whitefield,No,"Bakery, Cafe",Cafes
House of Torte,3.8,60,"Bakery, Cafe, Burger, Fast Food","Cheesecake, Chocolate Truffle",Kaggadasapura,Yes,"Bakery, Cafe",Delivery
ChowChow Pandas,0,0,"Bakery, Desserts",,East Bangalore,No,Delivery,Desserts
Indulge Cupcakes,3.8,17,"Bakery, Desserts",,Marathahalli,No,Bakery,Desserts
Me And My Cake,3.5,18,"Bakery, Desserts",,Marathahalli,No,Bakery,Delivery
Petit Crumbs,0,0,"Bakery, Desserts",,Marathahalli,No,Bakery,Desserts
A Pinch Of Magic,0,0,"Bakery, Desserts",,Whitefield,No,"Takeaway, Delivery",Delivery
Cake Point,0,0,"Bakery, Desserts",,Whitefield,No,Bakery,Desserts
Dial For Cake,0,0,"Bakery, Desserts",,Whitefield,No,Bakery,Desserts
Karachi Bakery,4.1,42,"Bakery, Desserts",,Whitefield,No,Bakery,Desserts
Sweet Tooth - Do you have one?,3.3,4,"Bakery, Desserts",,Whitefield,No,"Takeaway, Delivery",Delivery
Vidya Bakery,0,0,"Bakery, Desserts",,Whitefield,No,Bakery,Desserts
Kreme Delight,3.4,21,"Bakery, Desserts",,Whitefield,Yes,Bakery,Desserts
Online Cake and Flower.com,3.2,6,"Bakery, Desserts",,Whitefield,Yes,Bakery,Desserts
"Vindhwashni Bakers, Confectioner & Florist",0,0,"Bakery, Desserts",,Whitefield,Yes,Bakery,Desserts
Juice Berg,4,181,"Bakery, Desserts",Chocolate Cake,Whitefield,Yes,Bakery,Delivery
Cakesta,4.1,126,"Bakery, Desserts","Eggless Cake, Choco Mocha, Choco Almond, Blueberry Cake, Chocolate Cake, Choco Strawberry","ITPL Main Road, Whitefield",Yes,Bakery,Delivery
Strawbees,3.8,52,"Bakery, Desserts",Strawberry Cake,Kaggadasapura,Yes,Bakery,Delivery
Celebration Day,0,0,"Bakery, Desserts, Beverages",,Marathahalli,No,"Quick Bites, Dessert Parlor",Dine-out
Snacks 24x7,0,0,"Bakery, Fast Food",,Whitefield,No,Quick Bites,Delivery
"Vindwashini Bakers, Cake and Florist",0,0,"Bakery, Fast Food",,Whitefield,Yes,"Bakery, Quick Bites",Desserts
Lemon Krust,4,39,"Bakery, Fast Food","Cup Cake, Brownie",Whitefield,Yes,Bakery,Desserts
Foodmazic,3.7,17,"BBQ, Beverages, Burger, Rolls, Tea",,Kaggadasapura,No,Quick Bites,Delivery
Hungrill Barbeque,3.4,8,"BBQ, Rolls",,Kaggadasapura,Yes,Quick Bites,Delivery
The Bengal Rasoi,3.2,5,Bengali,,Kaggadasapura,No,Delivery,Delivery
Kolkata Spicy Restaurant,2.8,11,Bengali,,Marathahalli,Yes,Quick Bites,Delivery
Posto-The Authentic Homemade Bengali Food,0,0,Bengali,,Whitefield,No,Delivery,Delivery
Saha Cabin Bengali Hotel,3.4,5,Bengali,,Whitefield,No,Quick Bites,Dine-out
Tarama Bengali Food,3.2,4,Bengali,,Whitefield,No,Quick Bites,Delivery
Annapurna Bengali Restaurant,3.9,50,Bengali,"Fish Curry, Chicken Curry",Whitefield,No,Quick Bites,Dine-out
Best Of Bengal,3.8,232,Bengali,"Gulab Jamun, Thali, Salad",Marathahalli,Yes,Quick Bites,Delivery
Decker's Lane,2.1,243,Bengali,"Rolls, Rasgulla, Fish Fry, Bhetki Paturi, Mutton Kosha, Veg Thali, Luchi",Marathahalli,Yes,Quick Bites,Dine-out
Mordern Tiffin,0,0,"Bengali, Chinese, North Indian",,Whitefield,No,Delivery,Delivery
Damodar Seth,3.2,155,"Bengali, Chinese, North Indian","Thali, Fish Fry, Alur Dom, Aalo Bhaja",Marathahalli,Yes,Casual Dining,Delivery
Madhuban Restaurant,0,0,"Bengali, Continental, Fast Food, North Indian, Seafood",,Marathahalli,No,Casual Dining,Dine-out
Maa Bargabhima Restaurant,3.7,19,"Bengali, Mughlai, North Indian",,Whitefield,No,Quick Bites,Delivery
Shreya Ranna Ghar,3.3,6,"Bengali, North Indian",,Brookefield,No,Quick Bites,Dine-out
Friends Restaurant,0,0,"Bengali, North Indian",,Marathahalli,No,Quick Bites,Dine-out
Homemadefoodlovers,0,0,"Bengali, North Indian",,Whitefield,No,Delivery,Delivery
New Suruchi Hotel,0,0,"Bengali, North Indian",,Whitefield,No,Quick Bites,Dine-out
Spoon Me,3.5,9,"Bengali, North Indian, Chinese",,Whitefield,No,Delivery,Delivery
Majlish,3.6,79,"Bengali, North Indian, Chinese",Doi Murgi,Whitefield,No,Casual Dining,Dine-out
Radha Rani,3.4,252,"Bengali, North Indian, Chinese","Fish, Veg Thali, Biryani",Brookefield,Yes,Quick Bites,Dine-out
Petuk,3.7,78,"Bengali, North Indian, Chinese, Biryani","Biryani, Fish, Mughlai Paratha",Whitefield,Yes,Quick Bites,Delivery
Kitchen of Joy,3.8,210,"Bengali, North Indian, Chinese, Rolls","Thali, Rolls, Rasgulla, Aloo Posto, Biryani, Mutton Kasha, Paratha",Kaggadasapura,No,Casual Dining,Delivery
Kichukkhon,2.9,48,"Bengali, Oriya",,Marathahalli,No,Quick Bites,Delivery
Odia Oota - A Class Of It's Own Flavors,0,0,"Bengali, Oriya, South Indian",,Whitefield,No,"Takeaway, Delivery",Delivery
CocoFresh,3.3,4,Beverages,,Brookefield,No,Food Court,Delivery
The Crunch,3.3,6,Beverages,,Brookefield,No,Beverage Shop,Dine-out
Frozen Bite,3.3,11,Beverages,,Kaggadasapura,Yes,Beverage Shop,Delivery
Lassi Magic,3.5,13,Beverages,,Marathahalli,Yes,Quick Bites,Delivery
Shakes365,0,0,Beverages,,Whitefield,Yes,Beverage Shop,Delivery
Slurpy Shakes,3.7,11,Beverages,,Whitefield,Yes,Beverage Shop,Delivery
The Duke Of Juices,3.7,26,Beverages,,Whitefield,Yes,"Food Court, Beverage Shop",Delivery
Cinnabon,4,80,"Beverages, American, Bakery","Rolls, Cinnamon Roll, Cinnamon Bun",Whitefield,No,Quick Bites,Desserts
Bobacha,4.1,82,"Beverages, Bubble Tea, Tea","Waffles, Fruit Tea, Pearl Milk Tea",Whitefield,Yes,Beverage Shop,Delivery
Lassi House,3.1,6,"Beverages, Burger",,Marathahalli,No,Beverage Shop,Desserts
Navras,0,0,"Beverages, Desserts",,Brookefield,No,Quick Bites,Delivery
The Shop of Paanakam,0,0,"Beverages, Desserts",,Marathahalli,No,Beverage Shop,Desserts
Dock Frost'd,4.6,121,"Beverages, Desserts","Kala Jamun, Fruit Shake, Waffles, Chocolate Dessert",Marathahalli,Yes,"Beverage Shop, Dessert Parlor",Delivery
Shake It Off,3.6,15,"Beverages, Fast Food",,CV Raman Nagar,Yes,Beverage Shop,Dine-out
Apple Cafe,3.3,14,"Beverages, Fast Food",,Marathahalli,No,Quick Bites,Delivery
Central Cafe,3.2,4,"Beverages, Fast Food",,Marathahalli,Yes,"Beverage Shop, Quick Bites",Delivery
Kanteen 077,0,0,"Beverages, Fast Food",,Whitefield,No,Quick Bites,Delivery
Masala Chai,4.1,196,"Beverages, Fast Food, Tea","Masala Chai, Sandwiches, Samosa, Masala Tea, Ice Tea, Bombay Sandwich, Chicken Mayo Sandwich",Whitefield,Yes,"Beverage Shop, Quick Bites",Dine-out
Crazy Crush - Juices & Desserts Cafe,3.5,11,"Beverages, Ice Cream, Fast Food",,Whitefield,Yes,Beverage Shop,Delivery
Fresh Berriz,3.3,7,"Beverages, Juices",,Whitefield,No,Beverage Shop,Dine-out
Krishu Juice Centre,0,0,"Beverages, Juices",,Whitefield,No,Beverage Shop,Delivery
Lassi,3.3,16,"Beverages, Juices, Ice Cream, Sandwich, Fast Food",,Marathahalli,Yes,"Beverage Shop, Quick Bites",Delivery
Cane Hut,0,0,"Beverages, Juices, Street Food",,Whitefield,No,"Beverage Shop, Quick Bites",Dine-out
Arogya Thaana,3.8,72,"Beverages, Sandwich","Sandwiches, Oreo Shake, Burgers",Whitefield,Yes,Beverage Shop,Delivery
Lassi Xpress,3.4,7,"Beverages, Sandwich, Desserts",,"ITPL Main Road, Whitefield",No,Beverage Shop,Delivery
TBC - The Breakfast Company,3.8,27,"Bihari, North Indian, South Indian","Poha, Aloo Paratha",Marathahalli,Yes,Quick Bites,Delivery
Ambur Royal Biryani,0,0,Biryani,,Marathahalli,No,Quick Bites,Dine-out
Bengaluru's Biryanis Paradise,3.7,26,Biryani,,Marathahalli,No,Quick Bites,Dine-out
Ghar Ki Biryani,0,0,Biryani,,Marathahalli,No,Quick Bites,Delivery
Biryani Bar,3.2,8,Biryani,,Marathahalli,Yes,Delivery,Delivery
Sri Jayadurga Biryani,3.8,47,Biryani,,Marathahalli,Yes,"Takeaway, Delivery",Delivery
A1 Hot Dum Biryani,3.2,4,Biryani,,Whitefield,No,Quick Bites,Dine-out
Ambur Dum Biriyani & Parota Centre,0,0,Biryani,,Whitefield,No,Quick Bites,Dine-out
Biryani Treats,3.1,11,Biryani,,Whitefield,No,Delivery,Delivery
Chirayu Biryani House,0,0,Biryani,,Whitefield,No,Delivery,Delivery
Hyderabadi Dum Biryani,3.7,23,Biryani,,Whitefield,No,Quick Bites,Dine-out
Combo Biriyani,2.9,8,Biryani,,Whitefield,Yes,Delivery,Delivery
Kolkata Biryani Center,3.8,40,Biryani,,Whitefield,Yes,Quick Bites,Delivery
Biryani Bowl,3.3,10,"Biryani, Andhra",,Whitefield,No,Kiosk,Dine-out
Meghana Grand,3.5,131,"Biryani, Andhra",Chicken Biryani,Whitefield,Yes,Casual Dining,Delivery
Little Onnion,3.8,133,"Biryani, Andhra","Vegetable Biryani, Dum Biryani, Kheer","ITPL Main Road, Whitefield",Yes,Casual Dining,Delivery
Dande Hyderabad Biryani,3.4,6,"Biryani, Andhra, North Indian",,Whitefield,Yes,"Takeaway, Delivery",Delivery
Abhiruchi Restaurant,3.7,173,"Biryani, Andhra, North Indian, Chinese",Chicken Biryani,Whitefield,Yes,Quick Bites,Delivery
Kolkata Biriyani,3.9,412,"Biryani, Bengali","Chicken Bharta, Basmati Rice, Luchi, Mutton Kosha, Basanti Pulao, Chicken Biryani, Chicken Wings",Marathahalli,No,Delivery,Delivery
Polly's Kitchen,3.3,4,"Biryani, Chinese",,Whitefield,No,Quick Bites,Dine-out
S.M.S.Evening Fast Food,3.4,10,"Biryani, Chinese",,Whitefield,No,Quick Bites,Dine-out
Yummy Dum Biriyani,0,0,"Biryani, Chinese",,Whitefield,No,Quick Bites,Dine-out
Jubli Biryani,3.6,17,"Biryani, Chinese",,Whitefield,Yes,Quick Bites,Dine-out
Angaar Biriyani,3.7,92,"Biryani, Chinese, Fast Food",Paneer Biryani,Whitefield,Yes,Quick Bites,Dine-out
Happy Eat,3.3,88,"Biryani, Chinese, North Indian",,Marathahalli,Yes,Quick Bites,Dine-out
Hotel Greens,3.6,59,"Biryani, Chinese, North Indian, South Indian",,Whitefield,No,Casual Dining,Dine-out
Biryani@Bangalore,2.9,86,"Biryani, Chinese, South Indian",,Marathahalli,No,"Takeaway, Delivery",Delivery
Vijayas Biryani Palace,3.8,36,"Biryani, Chinese, South Indian, North Indian",,Whitefield,Yes,Quick Bites,Dine-out
Real Ambur Dum Biryani,3.3,4,"Biryani, Fast Food",,Whitefield,No,Quick Bites,Dine-out
Hyderabad Dawat,3.4,31,"Biryani, Hyderabadi",,Marathahalli,Yes,Casual Dining,Dine-out
Green Hyderabad Biryani House,3.8,433,"Biryani, Hyderabadi, Andhra, North Indian","Lassi, Hyderabadi Biryani, Tandoori Chicken, Lemon Chicken, Chicken Dum Biryani, Prawn Biryani, Boneless Biryani",Whitefield,Yes,Casual Dining,Delivery
Nawabi Handi,3.4,23,"Biryani, Hyderabadi, North Indian",,Whitefield,No,Quick Bites,Dine-out
BBxR,3.5,11,"Biryani, Kebab",,Marathahalli,No,Delivery,Delivery
Famous Bawarchi,0,0,"Biryani, Kebab",,Marathahalli,No,Quick Bites,Dine-out
Hot Biriyani Center,0,0,"Biryani, Kebab",,Marathahalli,No,Quick Bites,Dine-out
Ambur Biryani Center,0,0,"Biryani, Kebab",,Whitefield,No,Quick Bites,Dine-out
Epic Biryani,0,0,"Biryani, Kebab",,Whitefield,No,"Takeaway, Delivery",Delivery
Kitchens@Whitefield,3.7,279,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",,"Varthur Main Road, Whitefield",Yes,"Takeaway, Delivery",Delivery
Nawab Di Biryani,0,0,"Biryani, Mughlai",,Whitefield,No,"Takeaway, Delivery",Dine-out
'@ Biryani Central,2.7,135,"Biryani, Mughlai, Chinese","Hyderabadi Biryani, Mutton Biryani, Dal Fry",Marathahalli,Yes,Casual Dining,Dine-out
Hasee-E-Shan Makers Of Biryani,3.5,16,"Biryani, Mughlai, North Indian",,Whitefield,Yes,Quick Bites,Delivery
Biryani Cart,0,0,"Biryani, North Indian",,Whitefield,No,Delivery,Delivery
Biryani House,3.6,14,"Biryani, North Indian",,Whitefield,No,Casual Dining,Dine-out
Biriyani Section,3.7,28,"Biryani, North Indian",,Whitefield,Yes,Quick Bites,Delivery
Biryani Express,3.7,71,"Biryani, North Indian",,Whitefield,Yes,Casual Dining,Dine-out
Biriyani & Kabab Corner,0,0,"Biryani, North Indian, Chinese",,Marathahalli,No,Quick Bites,Dine-out
Biryani Feast,2.9,133,"Biryani, North Indian, Chinese",,Marathahalli,Yes,Delivery,Delivery
Kingley Grand,3.5,11,"Biryani, North Indian, Chinese",,Marathahalli,Yes,Casual Dining,Dine-out
Jaffa's Biryani,3.8,434,"Biryani, North Indian, Chinese","Mutton Biryani, Fish Biryani, Paneer Biryani, Egg Biryani, Vegetable Biryani, Raita, Hyderabadi Biryani",Marathahalli,Yes,Casual Dining,Delivery
Alpha - House of Biryani & Tandoor,3.5,395,"Biryani, North Indian, Chinese","Raita, Paneer Biryani",Whitefield,Yes,Casual Dining,Delivery
99Foods,3.4,32,"Biryani, North Indian, Chinese, Kebab",,Marathahalli,No,Quick Bites,Dine-out
The Biryani Treat,0,0,"Biryani, North Indian, Desserts",,Marathahalli,No,Delivery,Delivery
